string,gn.AROU,gn.VAL,gn.DOM,gn.CNC,gn.IMAG,gn.FAM,gn.AOA,gn.SIZE,gn.GEND
adjective,3.7188,5.4063,4.8438,3.5938,2.7419,5.5667,4.1818,3.4545,3.7188
adjust,4.3636,5.7273,5.7097,3.0606,3,5.8148,4.2941,3.75,3.8788
admiral,5.0286,5.9091,6.6129,5.7059,5.6875,3.8,4.9697,4.9375,6.0313
admire,6.2941,7.625,5.7742,2.7097,3.6452,6,4.5938,4.6129,3.125
admired,6.6,7.9697,6.7143,2.8824,2.8529,5.5714,4.6571,4.9706,3.303
adopt,4.3871,6.0938,5.4688,3.6452,3.0968,4.7931,4.2903,4.4667,2.6923
adorable,6.9333,7.7813,5.375,2.2581,3.4688,5.4583,4.2813,4.3333,2.3448
adore,6.5161,8.2258,5.5161,2.3438,3.3548,5.04,4.2903,4.9355,2.5714
adult,5.0588,6,6.1613,4.7778,5.3704,6.5185,2.697,4.4828,4.0968
adultery,5.9118,1.9091,4.4118,4.0294,4.1515,4.8,6.1471,5.3235,4.3235
adults,4.5588,5.5588,5.6286,5.4571,6.1875,6.5,2.3143,4.5714,4.3429
advanced,5.5152,6.6061,6.1176,2.7879,3.0882,6.0333,4.8824,5.0882,4.0313
advantage,6.5484,7.303,7.2,2.8387,2.7188,5.8462,4.7273,5.2581,4.7407
adventure,8.0303,7.9706,7.3871,2.9118,4.7429,5.5758,2.9412,6.2188,4.8438
adverb,2.9355,5.0968,5.2353,3.3143,2.5294,4.7857,4.6471,3.1212,4.0323
adverse,4.3714,3.0909,3.5938,2.4545,2.5294,4.7059,5.7647,4.7879,4.25
adversity,4.8,3.7742,4.3,2.4839,2.5667,4.1613,6.2258,5.2069,4.5357
advice,4.125,6.2286,5.2286,2.3529,2.7576,6.0667,4.6571,4.2121,2.9063
advise,4.1818,6.4412,5.8125,3.7188,2.7879,5.6774,4.5714,4.3226,3.2
advisor,3.4375,6.0606,5.1471,5.3529,4.1818,5.1667,5.4412,3.9677,4.1765
advisors,3.6061,6,4.7742,4.7097,4.625,5.6552,5.6774,4.7333,4.0333
aeroplane,4.9143,5.9412,4.5294,6.7576,6.8182,6.2069,2.3429,5.8824,5.1471
afar,3.871,4.303,4.4412,3.0667,3.7879,4.0323,5.1176,4.4848,3.7333
affair,5.9688,2.4242,4.4545,3.3939,4.4242,5.6333,5.6176,4.7188,4.2727
affect,4.6061,4.9412,5.1765,2.4118,2.1765,5.5313,4.5,4.2424,3.6061
affection,6.8235,8.1765,5.5882,3.1176,4.5294,5.8485,4.6364,5.3939,1.7714
affectionate,7.3939,8,6.2727,3.4706,4.6364,6.1212,4.9697,5.5152,2.0909
afford,4.9394,5.8788,5.1765,3.5758,3.3636,5.625,4.3235,4.2727,4.4706
affordable,4.7742,6.8,4.9412,3.2,3.1714,5.9394,4.7714,3.5625,3.9394
afraid,5.6471,2.2059,2.5152,2.6857,4.5152,6.0345,2.6,5.2647,3.3529
after,4.3824,5.1429,4.5758,3.3143,2.7429,5.7,2.2571,3.9697,4
afterlife,5,5.2121,3.4545,2.303,2.9394,4.8065,4.697,5.9063,3.8788
age,3.5143,4.9394,4.7143,3.9706,3.2857,6.3636,1.9706,4.4706,3.9143
aged,2.9118,3.8438,3.8485,3.4412,4.4412,5.4375,4.3714,4.375,4.4412
agent,4.5,5.1111,5.2258,4.7377,4.371,4.9138,4.7879,4.0169,4.8621
aggression,6.0938,2.1935,5.2424,3.5484,4.4667,4.8148,5.1515,5.4667,5.9667
aggressive,6.4545,2.0938,5.9091,3.0625,4.1613,5.4828,4.6364,5.1724,6.0741
agile,6.3333,6.9412,5.7879,3.6061,4.4242,4.2727,5.3824,3.7353,3.2813
agility,5.9394,6.7778,6.5429,3.5152,3.6571,4.6333,5.3333,4.1515,4.0857
agony,5.5152,1.5313,3.0313,3.0938,4.2333,5.2667,4.2424,5.5152,4.0625
agree,5.3824,7.4063,6.7941,3.0625,3.3333,6.7586,3.0909,4.7273,3.6364
agreement,5.5455,7.7143,5.4848,3.1714,3.7273,5.871,4.6471,4.8788,3.4667
aid,5.2188,6.9375,4.9677,4.3636,4.0333,5.4444,4.4242,4.4545,3.7097
aim,4.8182,6.6061,6.9412,2.5455,2.9412,5.875,3.8571,4.2059,4.2903
air,4.8065,6.75,4.8276,4.25,2.9688,6.1,2.4839,4.7419,3.4583
airplane,5.3939,5.7941,5.4545,6.7059,6.8438,6.1786,2.1765,5.7353,5.125
airport,5.7931,5.3871,5.5313,6.5,6.5517,5.5769,3.0938,5.7742,4.5
aisle,3.7,5.2,4.7,5.7419,5.3667,4.7143,4.5313,3.7813,3.3077
albatross,4.2,5.129,5.2712,6.4754,5.5439,2.8308,5.5538,4.2063,4.6897
album,4.0313,5.7667,5.2963,6,5.6333,5.76,3.9355,2.875,4.16
alcohol,5.7576,5.2188,4.8824,6.4118,6.2941,6.1071,4.8286,4.1714,4.5758
alcoholic,4.6857,2,2.8857,4.4242,5.4194,5.9688,5.6857,4.5714,5.2286
alert,6.5484,5.7667,6.2333,3.1875,3.3333,5.24,4.4063,4.9643,4.32
algebra,2.2667,3.8387,3.871,4.4688,5.1818,5.3448,5.6364,4,4.6452
alien,5.3548,4.6667,4.1765,4.0645,5.7097,4.9032,3.3143,4.5455,4.8824
alimony,3.5417,3.75,4.4348,4.3913,2.5769,2.6875,6.4286,4.6667,4.1538
alive,6.7813,7.9688,7.1212,4.2353,4.7879,5.8276,2.7188,5.8438,3.4375
all,3.7097,5.4688,5.4194,3.3125,2.9355,6.5926,1.8065,5.8387,4
allergy,3.5588,2.9118,2.7647,4.8788,4.3235,5.2813,3.9714,4.0588,4
alley,4.2258,4.0882,4.3235,6.0968,6.1667,4.9333,3.8182,3.3824,4.4242
alligator,5.6563,4.3636,3.6129,6.6129,6.6667,4.92,2.8235,4.7188,5.1875
allow,4.0882,6.2424,5.7059,2.9706,2.4118,6.1,2.8235,4.0606,3.8788
allowed,4.8182,6.6667,4.8824,2.9714,2.5152,6.1515,3.0588,4.7273,3.9143
allure,6.1786,6,4.9688,2.5806,2.5938,3.4688,6.3939,4.5938,2.8065
aloft,4.069,5.2759,5.1,3.3793,3.1379,3.0303,5.8667,4,3.8889
alone,3.9375,2.7143,4.2647,3.3714,4.4,5.9333,2.7429,4.0294,3.8788
aloof,4.4643,4.2,5.0968,2.1379,3.1724,3.3824,5.7667,3.4667,4.0625
aloud,5.4571,5.3143,5.8571,3.8,3.4857,5.3793,3.4286,4.9118,3.9412
altar,3.9355,4.7,4.9,5.8387,5.9259,3.8929,4.2903,4.3,4.24
alter,4.8333,5.2581,4.7241,3.8333,4.1613,4.5385,4.3333,4,3.4444
altitude,5.0606,5.1515,5.6061,4.0303,3.8182,4.7419,5.3636,5.697,4.871
amateur,3.8235,4.1471,3.6571,3.1176,3.0857,4.8438,5.6,3.0286,4.2857
amaze,6.5294,7.5758,6.3636,2.3333,2.7941,5.7333,4.1765,5.3939,3.2059
amazing,7.1471,8.4063,6.8235,2.7742,2.7813,6.3077,3.1429,5.8333,3.3333
ambassador,4.7813,6.125,5.871,5.2069,4.5333,4.3448,5.7188,4.8387,5.3929
amber,4.931,5.7857,4.6333,5.1613,5.1333,4.5926,4.4194,3.2857,2.8462
ambition,6.8788,7.6857,7.5588,2.2941,3.3529,5.8125,5.0286,6.1143,4.5
ambulance,5.4118,4.7222,3.3824,6.7576,6.8788,6.4483,2.8571,4.6765,4.5556
ammunition,5.8182,2.7188,6.3333,5.9677,5.7931,4.9688,5.4848,4.9091,5.7742
amount,3.6471,5.6176,5.4839,3.9118,3.1818,6.4138,3.2647,4.5,4.1333
amphibian,4.0857,5.4118,5.2121,6.3636,6,4.0323,4.7273,3.3529,4
amplifier,5.9,5.8333,5.8667,5.5333,5.1379,4.2143,5.8667,4.6452,4.5926
amplify,6,5.7576,6.5313,3.8788,3.3333,4.871,5.6364,5.5333,4.5
amputate,4.8235,2.2121,3.7429,5.1765,5.6286,4.1212,5.2,5.0588,4.8438
amuse,6.0588,7.4118,6,2.8788,3.6875,5.8065,4.0882,4.4242,3.8529
amusement,6.4857,7.6286,6.5429,3.7941,4.5714,5.6774,4.0882,4.8,3.6286
amusing,6.0882,7.8182,6.1818,2.6774,3.7647,6.1333,4.5,4.1765,4.0909
analogue,3.4375,4.9706,5.0333,3.8235,3.3824,3.5758,5.8235,3.5,4.3939
analyst,3.5758,5.1212,5.3636,4.7143,3.8235,4.1724,6.2059,3.625,4.5172
anchor,3.6176,5.1714,5.1429,6.4706,6.6061,5.129,3.5714,4.3824,5.303
ancient,3.7879,5.6333,4.5161,3.875,4.3548,5.0714,4.0303,5.5,4.303
anecdote,5.2121,6.0882,5.4375,3.2647,3.1471,4.2647,6.4571,3.3333,4.1
angel,5.9697,8.1176,5.0625,3.3824,5.4,5.6071,2.6061,4.8182,1.7576
anger,5.6364,2.5294,4.6061,3.6471,4.6333,6.1333,2.8485,5.4688,5
angle,3.9333,5.0645,4.8,4.2121,4.8485,5,4.1515,3.2333,4.2963
angry,6.0645,2.3939,5.4333,3.6,5.3438,6.4,2.2667,4.7742,5.4
anguish,4.8824,2.3235,3.7879,2.5588,3.6176,3.6364,5.9429,4.9412,3.8485
animal,5.3226,6.2059,5.4848,6.3667,6.6364,6.2593,1.8571,4.2353,3.9697
animals,5.8065,6.9394,5.6452,6.4483,6.6774,6.5556,1.7941,4.6061,3.7188
animosity,6.5333,2.6129,4.4839,2.0968,2.6774,3.6129,6.4063,4.8333,4.037
ankle,3.6897,5.1563,5,6.68,6.7778,6.2273,2.7742,2.4828,3.6207
annoy,4.6176,2.5758,5.3824,2.5,3.3529,5.8387,3.0588,4.0294,4.5
annoyance,4.4571,2.4706,4.9394,2.9706,3.4,5.7576,4.8824,4.9032,4.4
annoying,4.2353,2.697,4.0606,3.2121,3.6765,6.3214,3.0294,4.5294,4.25
answer,4.3824,6.0882,5.8235,3.9412,3.9355,6.3438,2.7647,4.3824,3.9091
ant,2.9697,4.6364,4.4412,6.6061,6.7273,5.4516,2,1.4242,4.2059
anteater,4.0323,5.2258,5.3667,6.7333,6.4333,3.4706,4,3.8,4.6129
antelope,4.0857,5.7143,5.2286,6.4706,6.5294,3.9697,3.7941,4.2571,3.7429
anthem,5.303,6.3636,5.4839,4.5758,3.3125,5.0667,4.8485,5.0938,4.4545
anthropology,4.0625,5.4194,5.3438,2.9677,2.4375,3.1429,6.5938,5.0938,4.3871
anticipation,7.303,6.4242,5,2.2286,2.8,5.1818,5.6857,5.5,3.2571
anus,4.0303,4.129,5,5.9063,5.4839,4.6364,5.8,2.7879,4.6563
anxiety,5.2647,2.2571,2.3125,2.6176,3.9706,5.4839,5.4706,5.0588,3.1212
anxious,5.8235,2.6571,3.2647,2.5294,3.7143,5.9688,5.3056,4.6364,3.0556
apathy,4.7857,4.7857,4.4286,2,2.5,3.5484,6.3548,4.069,3.1923
ape,4.6765,5.125,5.0303,6.5758,6.6129,5.2222,2.7941,4.8125,5.6176
apex,4.2759,5.9167,5.4583,4.25,4.069,2.9032,6.2667,4.3462,4.1154
apologize,5,5.9697,5.0313,3.4516,4.0625,6.2903,3.3333,4.5625,3.2903
apology,4.4848,6,5.3824,3.0588,3,5.9063,3.2424,4.7576,3.2647
appalling,5.3636,2.0588,4.125,2.4118,2.9394,5.0313,5.2941,5.2424,4.1818
appear,4.3871,5.6667,5.1111,2.7742,3.0938,5.6207,3.75,3.8621,3.72
appearance,5.4063,5.4063,4.6774,2.5455,3.1563,5.5357,4.4194,4.4063,2.8667
appeared,5.0645,5.7,5.3333,2.7667,2.5161,5.5926,3.875,4.0357,3.7037
applause,6.6857,7.8235,6.6857,5.6,5.9143,6,3.6286,5,3.9118
apple,4.6667,6.1471,5.4848,6.8235,6.9091,6.7333,1.5294,2.4412,3.4063
appliance,3.4375,5.2571,5.2424,5.3939,5.0571,5.5313,4.9375,3.9118,4.4242
applied,3.7576,5.8387,5.7419,2.7813,2.0667,4.9259,5.4688,4.1935,4.1613
apply,3.9706,5.7059,5.6176,3.0909,2.6364,5.7879,4.8286,3.8824,4.0323
appoint,3.8182,5.6364,5.7097,3.5313,3.0625,4.5625,5.4118,3.9677,4.2727
appointment,3.4688,4.9677,4.7059,5.0606,4,5.6563,4,3.6875,3.6129
appreciate,5.75,7.8125,6.1613,3.2903,3.9394,6.1786,4.5313,5,2.9032
approval,5.7143,7.4375,4.7941,3.3143,3.4412,5.9063,4.8857,4.9118,3.3235
approve,5.1875,7,6.5313,3.0968,3.2059,5.5862,4.4,4.2941,3.6061
apricot,4.1875,5.8438,5.1212,6.5,6.6875,5.6774,3.2059,2.4848,3.2059
apron,3.7857,5.2333,4.3,6.4286,6.6,4.6154,3.2258,2.7188,2
aptitude,4.5,5.9394,6.1176,2.8182,2.0625,4.0303,6.3824,4.6875,4.4545
arch,4.3548,5.5,4.8,5.375,5.6333,4.1923,4.4,4.2333,4.2
archaeology,3.6061,5.3529,5.4118,4.8286,4.1143,4.5938,6.0294,5.2188,4.9706
archer,4.4839,4.9697,6.0313,6.2258,6.303,4.125,4.6176,3.8125,5.25
archery,4.7576,5.7576,6.2813,5.7273,6.0303,4.2581,4.8571,3.8235,4.6
architect,4.2813,5.7714,5.3143,6,5.1471,5.129,5.2857,4.3333,5.1765
archive,3.5714,5.4118,5,5.4286,4.3529,4.3529,5.6571,4.9118,4.0571
argue,5.2571,2.8235,5.2,4.0857,4.9143,6.0345,3.0571,4.7647,4.2059
argument,6.3125,2.3939,5.25,3.7879,3.8125,6.4138,3.9394,5.1818,4.7273
arise,5.2857,6,6.1714,3.1429,3.2571,4.1765,5.0286,4.5882,3.7941
aristocracy,4.7097,4.1875,4.5882,4.0882,4.0588,3.9394,6.4412,5.3438,4.0606
aristocratic,4.1613,4.3,4.7333,4.2414,4.0645,3.8125,5.9118,4.7742,4.7097
arm,3.7353,5.4848,5.7742,6.7097,6.5588,6.6786,1.4571,3.1471,4.2647
armadillo,4,5.4242,4.9355,6.5455,6.125,4.4194,4.7059,3.3636,4.5294
armed,6.2813,2.9538,5.9365,4.746,5.0492,4.5536,4.5362,5.1094,5.9219
armour,4.5,5.5455,6.0313,6.25,6.5862,4.7097,4.1471,4.3636,5.9412
armoury,4.7188,4.3548,5.6774,5.8125,5.129,3.2121,5.5758,4.9063,6
arms,4.4688,5.5455,5.5806,6.6471,6.4688,6.3704,2.2059,3.7576,4.9394
army,5.7813,3.9104,4.4063,6.1045,6.2419,5.3621,3.5758,6.1818,6.3548
aroma,5.5313,6.5758,5.2353,3.5143,3.5455,4.5625,5.0286,3.3939,2.7667
arouse,7.6875,7.1563,6.5,2.8788,3.2258,5.0385,6,4.6552,4
aroused,8.1515,7.2647,5.6667,2.6364,4.1471,5.7576,6.1714,4.9412,4.2424
array,4.1935,5.7742,5.1613,2.9697,2.8387,3.9615,6.0968,4.6897,3.625
arrest,4.303,2.4571,3.9118,4.7813,5.3529,5.4839,4.2353,4.8857,5.3529
arrested,5.3548,2.1429,3,4.8065,4.6765,5.7419,4.1176,4.7941,5.4839
arrive,5.0909,6.2188,5.6471,4.2727,3.8125,6.0323,3.0303,4,3.4848
arrogant,4.5,2.1563,5.4516,3.1935,3.9688,5.9286,5.4375,4.8333,5.8438
arrow,4.4,4.5143,5.4688,6.4118,6.7097,5.0645,3.0571,3.0286,5.1176
arrows,4.4688,4.7742,5.25,6.0333,6.2813,4.871,3.0286,3.2727,4.8125
arse,5.0938,3.9706,5.6667,6.0625,6.2941,6.1034,4.9394,3.3125,5.2121
arsehole,4.5758,2.1471,4.9706,4.7941,5.6765,5.9394,5.5,3.7647,5.8235
arson,5.4063,2.0588,5.0882,4.8485,4.7059,4.1212,5.9394,5.3939,5.7576
art,6.3939,7.0938,5.9032,4.3824,5.7941,6.2759,2.4412,5.375,2.9394
artist,5.2727,6.9118,6,5.5,6.1875,5.75,3.2647,4.4375,3.2647
arts,5.2258,6.4286,5.7429,3.5429,4.0882,5.9697,3.8286,4.697,2.9394
ascend,5.6765,6.5758,6.8182,3.8,4.6471,5.0294,5.1714,4.8824,4.0286
ascent,5.4706,5.7059,5.8182,4.0286,4.2571,4.2941,5.6286,4.7429,4.0882
ashamed,4.1818,1.8438,2.8182,2.7273,3.303,5.3793,4.6563,4.5938,4.0606
ashes,3.9118,3.697,4.6765,5.6471,5.6571,4.8824,4.1143,2.7143,4.2647
aspect,4.0303,5.5313,5.4688,2.5,1.9697,4.7667,5.9697,3.4545,3.7273
aspirin,3.8485,5.0303,4.6563,6.0333,5.8182,5.9677,5.0882,2.1875,3.6667
ass,5.3333,4.5588,5.25,6.3824,6.1765,5.5625,4.2059,3.8571,4.3529
assassin,6.5882,2.2059,3.4848,5.697,5.6452,4.4074,5.3235,4.8788,5.8824
assassinate,6.0882,2,6.2727,4.9706,5.2813,4.3871,5.5429,5.7879,5.8824
assault,5.1875,1.9355,3.75,4.0303,4.9355,5.2857,5.1212,5.2188,5.3636
asshole,4.9394,2.4857,5.6286,4.6471,4.7714,5.697,5.7429,3.7647,5.9429
assist,4.7576,6.7576,6.2188,3.4412,3.2581,5.5161,4.6471,3.8788,3.4412
assistant,3.9394,5.7273,4.7714,5.4118,5.3714,5.871,4.6571,3.6571,3.2353
assuring,4.5,7.5484,6.0323,2.3,2.7188,4.6071,5.125,4.7586,3.037
asteroid,6,4.5588,4.3333,6.0294,5.6364,4.4688,4.5294,5.5455,5.2903
asthma,3.7586,2.4706,3.0313,5.5,4.8286,5.1818,4.0294,4.0606,4.1818
astonish,6.3939,5.9091,5.2059,2.6471,3.0882,4.9333,4.7353,4.4545,3.7742
astonished,6.4286,5.8235,4.8824,2.5,3.4412,5.6774,5.1143,5.5,3.3438
astronaut,5.6563,6.6667,5.2,6.3871,6.7667,4.8966,3.2727,4.4194,5.5484
astronomer,5.2258,6.3438,5.4516,5.3333,4.8065,3.8214,5.129,4.4333,5.2333
astronomy,5.3438,5.8824,4.9697,4.3939,5,4.3548,5.6571,6.2571,4.5429
athletic,5.6563,7.0286,6.2188,4.3871,5.1935,5.6333,4.1212,4.5588,4.8438
athletics,4.1176,5.9118,5.6765,5.4242,5.6875,5.5,4.2121,4.3636,4.9688
atmosphere,5.9375,6.25,4.8387,3.6452,3.5938,6.2222,5.0645,6.1613,3.7576
atom,4.0294,5.6,4.303,5.4848,3.7647,4.3548,5.9143,1.8824,4.9063
atomic,5.8438,3.5455,4.3939,4.6563,5.25,4.5161,5.5294,5.303,5.0313
atoms,4.8182,5.6452,4.1515,5.3125,4.5625,5.3571,5.6765,2.6667,4.7059
atrocious,5.5938,1.8485,4.5,2.2121,1.9412,4.1818,5.8182,5.1875,4.2121
atrocity,5.0909,1.5152,3.9032,3.2333,3.4412,3.6875,6.2727,5.8667,4.5455
attack,5.4848,1.9412,4.1471,4.3636,5.0606,5.625,3.5294,5.1471,5.5
attacker,5.1143,2.0294,3.9706,5.697,5.25,5.0303,4.3939,5.2647,5.6563
attempt,3.6875,5.8286,5.7429,3.6286,3.0294,5.7273,3.9143,4.0645,3.8788
attendant,3.7714,5.0303,4.8,5.7941,5.0857,5,5.0588,3.8286,3.8571
attention,5.8824,6.1143,5.5455,3.2353,3.4118,6.0968,3.4118,4.8529,3.4118
attic,3.9655,4.7333,4.7931,6.4,5.9643,4.88,3.5625,4.125,4.25
attitude,5.303,4.3333,5.6364,2.7879,2.875,5.7667,3.9697,5.2188,3.5758
attract,7.0571,7.2647,6.7714,2.9118,3.6286,6,4.5143,4.9143,2.8571
attraction,7.2059,7.6765,6,2.6286,3.8,6.4194,5.3824,5.1471,2.6667
attractive,7.4706,7.875,6.1471,2.875,4.7742,6.1,4.5758,5.1765,2.4848
attribute,4.4848,5.8857,5.7879,2.7353,2.7714,4.2667,5.7941,4.6176,3.6667
auction,3.5588,5.3143,4.5758,5.3143,6.0286,5.3226,4.8,4.25,4.75
auctioneer,3.5161,4.8387,5.2333,5.6071,5.1935,3.2759,5.4,3.9,5.2857
audience,4.7273,5.9032,5.1212,5.697,6.0645,6.1034,3.6667,5.5625,4.1212
auditorium,4.3824,5.3333,4.9375,6.4375,6.0313,4.9643,5.9706,5.6667,4.5313
aunt,4.2647,6.2424,4.7419,5.697,5.7647,5.6875,2.0286,4.0606,1.2727
authentic,5.1563,7.1563,6.2813,3.1818,3,5.3548,5.5152,4.3548,3.6667
author,4.8485,6.0625,5.5625,5.5758,4.5758,5.9091,3.7429,3.6765,3.9118
autopsy,5.2353,3.5294,4.1212,5.3529,5.0938,4.3636,6.1176,4.4242,4.5
autumn,4.9706,5.9706,4.8235,4.6857,6.1471,6.2667,2.3125,4.4857,3.3235
avalanche,6.625,2.7813,4,6.0333,5.9643,4.0714,4.8387,6.3438,4.7143
avenge,6.6563,3.7576,6.7742,2.4545,2.5882,3.1786,5.6471,5.2333,5.6552
avenue,3.7742,5.3333,5,5.2667,5.0625,4.84,4.0625,4.3871,3.6897
award,6.4545,8.0303,6.6364,5.6176,5.6471,5.7586,3.5,4.7941,4
awarded,5.9355,7.3,6.3333,3.2258,3.1,5.2083,4,4.9688,4
aware,5.7742,6.2121,7.3,2.6364,2.5152,5.6,3.7647,5.0294,3.3333
away,3.5938,4.125,4.5758,3.0909,2.9394,6.1,2.2571,3.9091,3.9355
awe,6.7353,7.3429,4.9091,2.4848,3.1143,5.3226,4.9706,5.3529,3.3429
awesome,6.871,8.2903,6.6563,2.0938,2.7188,6.2308,4.3438,5.2,4.0968
awful,3,1.9697,4,2.0625,3.0303,5.9355,3.6571,4.4286,4.5152
awkward,5.125,3.1176,2.9677,2.8438,3.3333,5.8929,4.5143,4.1176,4.1212
axe,5.1515,3.5152,5.3438,6.3939,6.3438,4.4138,3.5455,3.6765,5.697
